Data,Close,Recompensa,RecompensaAcumulada,Estado,Retorno,RetornoAcumulado
2015-07-16,9.35,0.0132,94.8533,2.0,0.0385,0.1459
2015-07-17,9.41,0.0,96.1717,3.0,0.0,0.1845
2015-07-20,9.19,0.0,96.1717,3.0,0.0234,0.1845
2015-07-21,9.34,0.0234,96.1717,2.0,-0.0159,0.2079
2015-07-22,9.15,0.0074,98.5097,2.0,0.0202,0.1919
2015-07-23,9.23,0.0276,99.2536,2.0,-0.0085,0.2121
2015-07-24,8.99,0.0191,102.0166,2.0,0.0255,0.2036
2015-07-27,9.11,0.0446,103.9294,2.0,-0.0128,0.2291
2015-07-28,8.87,0.0319,108.3928,2.0,0.0255,0.2164
2015-07-29,8.96,0.0574,111.5809,2.0,-0.0096,0.2419
2015-07-30,9.12,0.0478,117.3194,2.0,-0.017,0.2323
2015-07-31,9.39,0.0308,122.1016,2.0,-0.0287,0.2153
2015-08-03,9.28,0.0021,125.1834,2.0,0.0117,0.1866
2015-08-04,9.09,0.0138,125.3959,2.0,0.0202,0.1983
2015-08-05,9.45,0.034,126.7774,2.0,-0.0383,0.2185
2015-08-06,9.38,-0.0043,130.1781,2.0,0.0074,0.1802
2015-08-07,9.07,0.0032,129.753,2.0,0.0329,0.1877
2015-08-10,9.21,0.0,130.0718,3.0,-0.0154,0.2206
2015-08-11,9.11,-0.0154,130.0718,2.0,0.011,0.2052
2015-08-12,8.89,-0.0044,128.5282,2.0,0.0243,0.2162
2015-08-13,8.58,0.0,128.0872,3.0,0.0349,0.2405
2015-08-14,8.51,0.0349,128.0872,2.0,0.0079,0.2753
2015-08-17,8.78,0.0,131.5743,3.0,0.0317,0.2832
2015-08-18,9.17,0.0317,131.5743,1.0,0.0458,0.3149
2015-08-19,9.1,0.0776,134.747,1.0,-0.0082,0.3608
2015-08-20,9.16,0.0693,142.5026,1.0,0.0071,0.3525
2015-08-21,8.85,0.0764,149.4356,1.0,-0.0364,0.3596
2015-08-24,8.29,0.04,157.0737,1.0,-0.0658,0.3232
2015-08-25,8.3,-0.0259,161.069,1.0,0.0012,0.2573
2015-08-26,8.57,-0.0247,158.4838,1.0,0.0317,0.2585
2015-08-27,8.88,0.0,156.0161,3.0,0.0362,0.2903
2015-08-28,8.8,0.0362,156.0161,1.0,-0.0093,0.3264
2015-08-31,8.8,0.0,159.6334,3.0,0.0,0.3171
2015-09-01,8.37,0.0,159.6334,2.0,0.0489,0.3171
2015-09-02,8.46,0.0489,159.6334,2.0,-0.0102,0.366
2015-09-03,8.75,0.0386,164.5198,2.0,-0.033,0.3557
2015-09-04,8.34,0.0057,168.3834,2.0,0.0466,0.3228
2015-09-08,8.63,0.0523,168.9516,2.0,-0.033,0.3694
2015-09-09,8.5,0.0193,174.1789,2.0,0.0148,0.3364
2015-09-10,8.73,0.0341,176.1107,2.0,-0.0261,0.3512
2015-09-11,8.54,0.008,179.5198,2.0,0.0216,0.325
2015-09-14,8.85,0.0295,180.3152,2.0,-0.0352,0.3466
2015-09-15,8.6,-0.0057,183.2698,2.0,0.0284,0.3114
2015-09-16,8.59,0.0227,182.7016,2.0,0.0011,0.3398
2015-09-17,8.65,0.0,184.9743,3.0,0.0,0.341
2015-09-18,8.41,0.0,184.9743,3.0,0.0277,0.341
2015-09-21,8.46,0.0277,184.9743,2.0,-0.0058,0.3687
2015-09-22,8.3,0.022,187.7489,2.0,0.0185,0.3629
2015-09-23,8.31,0.0405,189.9454,2.0,-0.0012,0.3814
2015-09-24,8.15,0.0393,193.9916,2.0,0.0185,0.3803
2015-09-25,7.97,0.0578,197.9223,2.0,0.0208,0.3988
2015-09-28,7.75,0.0786,203.7026,2.0,0.0254,0.4196
2015-09-29,7.61,0.104,211.5639,2.0,0.0162,0.445
2015-09-30,7.51,0.1202,221.9685,2.0,0.0116,0.4612
2015-10-01,7.55,0.1318,233.9916,2.0,-0.0046,0.4727
2015-10-02,7.77,0.1272,247.1708,2.0,-0.0254,0.4681
2015-10-05,7.8,0.1017,259.8876,2.0,-0.0035,0.4427
2015-10-06,7.78,0.0983,270.061,2.0,0.0023,0.4392
2015-10-07,7.83,0.1006,279.8876,2.0,-0.0058,0.4415
2015-10-08,7.8,0.0948,289.9454,2.0,0.0035,0.4358
2015-10-09,7.8,0.0983,299.4251,2.0,0.0,0.4392
2015-10-13,7.75,0.0983,309.2517,2.0,0.0058,0.4392
2015-10-14,7.75,0.104,319.0783,2.0,0.0,0.445
2015-10-15,7.81,0.104,329.4829,2.0,-0.0069,0.445
2015-10-16,7.74,0.0971,339.8875,2.0,0.0081,0.4381
2015-10-19,7.69,0.1052,349.5985,2.0,0.0058,0.4462
2015-10-20,7.67,0.0,360.1187,3.0,0.0026,0.4519
2015-10-21,7.69,0.0026,360.1187,2.0,-0.0026,0.4545
2015-10-22,7.81,0.0,360.3788,3.0,-0.0156,0.4519
2015-10-23,8.09,-0.0156,360.3788,2.0,-0.0364,0.4363
2015-10-26,8.57,-0.052,358.8183,2.0,-0.0624,0.3999
2015-10-27,7.84,0.0,353.6168,3.0,0.0,0.3375
2015-10-28,7.67,0.0,353.6168,3.0,0.0217,0.3375
2015-10-29,7.92,0.0217,353.6168,2.0,-0.0319,0.3592
2015-10-30,8.45,-0.0102,355.7851,2.0,-0.0676,0.3273
2015-11-03,8.59,-0.0778,354.7647,2.0,-0.0179,0.2597
2015-11-04,8.7,0.0,346.9841,3.0,-0.0128,0.2418
2015-11-05,8.62,-0.0128,346.9841,2.0,0.0093,0.229
2015-11-06,8.4,-0.0035,345.7036,2.0,0.0256,0.2383
2015-11-09,8.2,0.0221,345.3544,2.0,0.0233,0.264
2015-11-10,8.47,0.0,347.5662,3.0,-0.0329,0.2872
2015-11-11,8.4,-0.0329,347.5662,2.0,0.0085,0.2543
2015-11-12,8.2,-0.0244,344.2735,2.0,0.0244,0.2629
2015-11-13,8.12,0.0,341.8345,3.0,-0.0098,0.2872
2015-11-16,8.01,-0.0098,341.8345,1.0,-0.0134,0.2775
2015-11-17,8.17,-0.0232,340.8589,1.0,0.0195,0.2641
2015-11-18,8.11,0.0,338.5418,3.0,0.0073,0.2836
2015-11-19,8.39,0.0073,338.5418,2.0,-0.0343,0.2909
2015-11-23,8.57,-0.0269,339.2762,2.0,-0.022,0.2567
2015-11-24,8.31,-0.049,336.5835,2.0,0.0318,0.2346
2015-11-25,8.12,0.0,331.6875,3.0,0.0229,0.2664
2015-11-26,8.07,0.0229,331.6875,2.0,0.006,0.2893
2015-11-27,7.8,0.0289,333.974,2.0,0.0325,0.2953
2015-11-30,7.65,0.0614,336.862,2.0,0.0181,0.3278
2015-12-01,7.75,0.0,342.9992,3.0,0.0,0.3459
2015-12-02,7.49,0.0,342.9992,3.0,0.0335,0.3459
2015-12-03,7.38,0.0335,342.9992,2.0,0.0142,0.3794
2015-12-04,7.13,0.0,346.354,3.0,0.0,0.3936
2015-12-07,7.1,0.0,346.354,3.0,0.0042,0.3936
2015-12-08,7.05,0.0042,346.354,2.0,0.007,0.3978
2015-12-09,7.01,0.0112,346.7748,2.0,0.0056,0.4048
2015-12-10,7.0,0.0168,347.8968,2.0,0.0014,0.4104
2015-12-11,6.64,0.0182,349.5798,2.0,0.0505,0.4118
2015-12-14,6.56,0.0687,351.4031,2.0,0.0112,0.4623
2015-12-15,6.75,0.0799,358.2755,2.0,-0.0266,0.4736
2015-12-16,7.06,0.0533,366.2699,2.0,-0.0435,0.4469
2015-12-17,7.21,0.0098,371.5994,2.0,-0.021,0.4034
2015-12-18,6.97,-0.0112,372.5812,2.0,0.0337,0.3824
2015-12-21,6.83,0.0224,371.4592,2.0,0.0196,0.4161
2015-12-22,6.89,0.0421,373.7032,2.0,-0.0084,0.4357
2015-12-23,7.01,0.0337,377.9108,2.0,-0.0168,0.4273
2015-12-28,6.91,0.0168,381.2769,2.0,0.014,0.4104
2015-12-29,6.79,0.0309,382.9599,2.0,0.0168,0.4245
2015-12-30,6.86,0.0477,386.0455,2.0,-0.0098,0.4413
