Data,Close,Recompensa,RecompensaAcumulada,Estado,Evolucao,Evolucao2
2014-09-30,13.8,0.0282,25.3851,2.0,-0.0473,-0.0496
2014-10-01,13.43,0.0542,28.202,2.0,-0.0213,-0.0228
2014-10-02,13.74,0.0324,33.6245,2.0,-0.0431,-0.0459
2014-10-03,13.94,0.0183,36.864,2.0,-0.0572,-0.0605
2014-10-06,14.3,-0.007,38.695,2.0,-0.0825,-0.0863
2014-10-07,14.15,0.0035,37.9907,2.0,-0.072,-0.0758
2014-10-08,13.89,0.0218,38.3428,2.0,-0.0536,-0.0574
2014-10-09,13.86,0.0239,40.5259,2.0,-0.0515,-0.0553
2014-10-10,13.52,-0.0245,42.9203,3.0,-0.0761,-0.0798
2014-10-13,13.83,-0.0022,40.4672,1.0,-0.0537,-0.0569
2014-10-14,13.88,-0.0036,40.2508,3.0,-0.0573,-0.0605
2014-10-15,13.57,0.0188,39.8892,2.0,-0.0349,-0.0381
2014-10-16,13.38,-0.014,41.7692,3.0,-0.0489,-0.0521
2014-10-17,13.83,0.0192,40.3691,1.0,-0.0157,-0.0185
2014-10-20,13.69,-0.0101,42.2851,3.0,-0.0259,-0.0286
2014-10-21,13.42,-0.0296,41.2728,1.0,-0.0454,-0.0484
2014-10-22,13.37,-0.0333,38.3082,1.0,-0.049,-0.0521
2014-10-23,13.08,-0.0542,34.9821,1.0,-0.07,-0.0738
2014-10-24,13.52,-0.0224,29.5591,1.0,-0.0382,-0.0401
2014-10-27,13.47,0.0,27.3176,3.0,-0.0382,-0.0401
2014-10-28,13.63,-0.0119,27.3176,3.0,-0.05,-0.052
2014-10-29,13.64,-0.0126,26.1298,2.0,-0.0508,-0.0527
2014-10-30,13.71,-0.0178,24.8677,2.0,-0.056,-0.0579
2014-10-31,14.32,0.0,23.086,3.0,-0.056,-0.0579
2014-11-03,14.14,0.0126,23.086,3.0,-0.0434,-0.0453
2014-11-04,14.27,0.0035,24.3429,2.0,-0.0525,-0.0545
2014-11-05,14.27,0.0035,24.6921,2.0,-0.0525,-0.0545
2014-11-06,14.22,0.007,25.0413,2.0,-0.049,-0.051
2014-11-07,14.35,-0.0021,25.7396,2.0,-0.0581,-0.0601
2014-11-10,14.25,0.0049,25.5301,2.0,-0.0511,-0.0532
2014-11-11,13.97,0.0244,26.0189,2.0,-0.0315,-0.0335
2014-11-12,14.29,0.0,28.463,3.0,-0.0315,-0.0335
2014-11-13,13.97,-0.0224,28.463,3.0,-0.0539,-0.0559
2014-11-14,13.81,-0.0336,26.2237,1.0,-0.0651,-0.0674
2014-11-17,13.85,-0.0308,22.8647,1.0,-0.0623,-0.0645
2014-11-18,14.12,-0.0119,19.7856,1.0,-0.0434,-0.045
2014-11-19,14.44,0.0105,18.596,1.0,-0.021,-0.0223
2014-11-21,14.95,0.0462,19.6457,1.0,0.0147,0.013
2014-11-24,14.73,-0.0147,24.2643,3.0,-0.0001,-0.0017
2014-11-25,14.69,-0.0174,22.7927,1.0,-0.0027,-0.0044
2014-11-26,14.53,0.0,21.0536,3.0,-0.0027,-0.0044
2014-11-27,14.46,-0.0048,21.0536,3.0,-0.0076,-0.0092
2014-11-28,14.71,0.0124,20.5718,1.0,0.0097,0.008
2014-12-01,13.98,0.0,21.8107,3.0,0.0097,0.008
2014-12-02,13.7,0.0,21.8107,3.0,0.0097,0.008
2014-12-03,13.76,0.0,21.8107,3.0,0.0097,0.008
2014-12-04,13.71,0.0,21.8107,3.0,0.0097,0.008
2014-12-05,13.97,-0.019,21.8107,3.0,-0.0093,-0.0109
2014-12-08,13.75,-0.0029,19.9142,2.0,0.0067,0.0048
2014-12-09,13.69,0.0044,19.6225,3.0,0.0111,0.0092
2014-12-10,13.79,-0.0029,20.0588,2.0,0.0038,0.0019
2014-12-11,13.96,-0.0153,19.7679,2.0,-0.0085,-0.0104
2014-12-12,13.53,0.016,18.2407,2.0,0.0227,0.0204
2014-12-15,13.47,0.0044,19.8407,3.0,0.0272,0.0248
2014-12-16,13.49,0.003,20.2841,2.0,0.0257,0.0233
2014-12-17,13.81,-0.0207,20.5797,2.0,0.002,-0.0004
2014-12-18,13.81,-0.0207,18.5103,2.0,0.002,-0.0004
2014-12-19,13.92,-0.008,16.4408,3.0,-0.0059,-0.0084
2014-12-22,14.27,-0.0333,15.6443,2.0,-0.0313,-0.0335
2014-12-23,14.29,-0.0348,12.3133,2.0,-0.0327,-0.0349
2014-12-26,14.16,-0.0091,8.8376,3.0,-0.0418,-0.044
2014-12-29,14.29,0.0,7.9279,1.0,-0.0327,-0.0348
2014-12-30,14.27,0.0014,7.9279,3.0,-0.0313,-0.0334
