Data,Close,Recompensa,RecompensaAcumulada,Estado,Retorno,RetornoAcumulado
2011-04-11,27.8,0.0266,0.3514,2.0,0.0138,-0.0532
2011-04-12,26.81,0.0404,3.0093,2.0,0.0342,-0.0394
2011-04-13,26.26,0.0746,7.048,2.0,0.019,-0.0052
2011-04-14,25.83,0.0935,14.504,2.0,0.0148,0.0138
2011-04-15,26.56,0.1084,23.8585,2.0,-0.0252,0.0286
2011-04-18,25.5,0.0832,34.6973,2.0,0.0366,0.0034
2011-04-19,25.78,0.1198,43.0162,2.0,-0.0097,0.04
2011-04-20,26.42,0.1101,54.9941,2.0,-0.0221,0.0303
2011-04-25,26.3,0.088,66.0055,2.0,0.0041,0.0082
2011-04-26,26.31,0.0922,74.8077,2.0,-0.0003,0.0124
2011-04-27,25.93,0.0918,84.0242,2.0,0.0131,0.012
2011-04-28,25.76,0.1049,93.2061,2.0,0.0059,0.0252
2011-04-29,26.0,0.1108,103.6997,2.0,-0.0083,0.031
2011-05-02,25.82,0.1025,114.7801,2.0,0.0062,0.0227
2011-05-03,25.62,0.1087,125.0321,2.0,0.0069,0.0289
2011-05-04,25.48,0.1156,135.9054,2.0,0.0048,0.0359
2011-05-05,24.79,0.1205,147.4691,2.0,0.0238,0.0407
2011-05-06,24.5,0.1443,159.516,2.0,0.01,0.0645
2011-05-09,24.93,0.1543,173.9447,2.0,-0.0148,0.0745
2011-05-10,24.96,0.1395,189.3745,2.0,-0.001,0.0597
2011-05-11,24.49,0.1384,203.32,2.0,0.0162,0.0586
2011-05-12,24.26,0.1546,217.1619,2.0,0.0079,0.0749
2011-05-13,23.94,0.1626,232.6262,2.0,0.011,0.0828
2011-05-16,24.5,0.1736,248.8844,2.0,-0.0193,0.0938
2011-05-17,24.89,0.1543,266.2471,2.0,-0.0135,0.0745
2011-05-18,24.53,0.1408,281.6769,2.0,0.0124,0.0611
2011-05-19,24.08,0.1533,295.7604,2.0,0.0155,0.0735
2011-05-20,24.48,0.1688,311.0866,2.0,-0.0138,0.089
2011-05-23,24.21,0.155,327.9662,2.0,0.0093,0.0752
2011-05-24,24.31,0.1643,343.4649,2.0,-0.0035,0.0845
2011-05-25,24.4,0.1609,359.8957,2.0,-0.0031,0.0811
2011-05-26,24.65,0.1577,375.9813,2.0,-0.0086,0.078
2011-05-27,24.74,0.1491,391.7562,2.0,-0.0031,0.0693
2011-05-30,24.46,0.146,406.6682,2.0,0.0097,0.0662
2011-05-31,24.33,0.1557,421.2696,2.0,0.0045,0.0759
2011-06-01,24.3,0.1602,436.8374,2.0,0.001,0.0804
2011-06-02,24.1,0.1612,452.854,2.0,0.0069,0.0814
2011-06-03,23.87,0.1681,468.9741,2.0,0.0079,0.0883
2011-06-06,23.37,0.176,485.7846,2.0,0.0173,0.0963
2011-06-07,23.14,0.1933,503.389,2.0,0.0079,0.1135
2011-06-08,23.39,0.2012,522.7194,2.0,-0.0086,0.1215
2011-06-09,23.81,0.1926,542.8436,2.0,-0.0145,0.1128
2011-06-10,23.76,0.1781,562.1049,2.0,0.0017,0.0983
2011-06-13,23.33,0.1798,579.9165,2.0,0.0148,0.1001
2011-06-14,23.71,0.1947,597.9006,2.0,-0.0131,0.1149
2011-06-15,23.4,0.1816,617.369,2.0,0.0107,0.1018
2011-06-16,23.46,0.1923,635.5257,2.0,-0.0021,0.1125
2011-06-17,23.28,0.1902,654.7525,2.0,0.0062,0.1104
2011-06-20,23.12,0.1964,673.7722,2.0,0.0055,0.1166
2011-06-21,23.35,0.2019,693.4132,2.0,-0.0079,0.1221
2011-06-22,23.31,0.194,713.6065,2.0,0.0014,0.1142
2011-06-24,22.85,0.1954,733.0058,2.0,0.0159,0.1156
2011-06-27,23.06,0.2113,752.5434,2.0,-0.0072,0.1315
2011-06-28,23.44,0.0,773.6686,3.0,-0.0165,0.1242
2011-06-29,23.35,-0.0165,773.6686,2.0,0.0039,0.1077
2011-06-30,23.8,-0.0126,772.0208,2.0,-0.0195,0.1116
